"		瘤痢锅龋",瘤痢疙,老矫,乞闭浅加(m/s),弥措浅加(m/s),弥措浅加浅氢(deg),"	弥措浅加矫阿",弥措鉴埃浅加(m/s),弥措鉴埃浅加浅氢(deg),"	弥措鉴埃浅加矫阿"
"		211",牢力,2018-02-09,1.2,4.3,180,16:46,7.3,140,14:54
"		211",牢力,2018-02-10,3.5,5.9,180,16:36,10.2,180,13:09
"		211",牢力,2018-02-11,3.3,5.8,180,15:01,10.8,180,15:19
"		211",牢力,2018-02-12,3.5,6.2,180,12:33,10.7,180,12:15
"		211",牢力,2018-02-13,3.7,6.2,160,12:48,12.2,160,12:59
"		211",牢力,2018-02-14,4.2,6.1,180,2:31,12.1,160,15:45
"		211",牢力,2018-02-15,1.6,4.5,180,14:41,7.7,160,15:46
"		211",牢力,2018-02-16,2.3,5.3,180,13:49,9.7,140,15:47
"		211",牢力,2018-02-17,2.3,4.5,180,11:40,8.1,180,15:59
"		211",牢力,2018-02-18,1.6,3.6,180,1:38,5.7,180,17:23
"		211",牢力,2018-02-19,1,3.5,160,13:20,5.7,160,14:33
"		211",牢力,2018-02-20,1.2,5,160,13:42,8.4,140,13:21
"		211",牢力,2018-02-21,1.1,4,180,15:00,7.2,140,15:24
"		211",牢力,2018-02-22,2.4,5.6,180,16:26,10.1,160,15:51
"		211",牢力,2018-02-23,2.6,4.6,180,1:57,8.5,160,16:27
"		211",牢力,2018-02-24,2.1,5,20,15:26,8.3,160,1:01
"		211",牢力,2018-02-25,1.6,4.5,160,14:11,6.6,160,15:01
"		211",牢力,2018-02-26,1.2,3.3,160,15:58,5.5,160,15:19
"		211",牢力,2018-02-27,0.9,3.2,160,13:20,6.7,160,13:23
"		211",牢力,2018-02-28,2.2,4.3,20,23:17,6.1,20,11:22
"		211",牢力,2018-03-01,3.3,5.9,180,12:23,11.1,180,12:15
"		211",牢力,2018-03-02,1.5,4.1,160,14:30,7,160,14:25
"		211",牢力,2018-03-03,1.7,5.2,180,16:39,9.5,180,16:37
"		211",牢力,2018-03-04,3.1,5.5,20,19:32,8.7,360,23:14
"		211",牢力,2018-03-05,4.1,6.2,360,12:13,9.8,360,12:09
"		211",牢力,2018-03-06,1.8,4.7,20,16:20,6.9,20,16:14
"		211",牢力,2018-03-07,2,4.2,20,16:01,6.3,50,17:15
"		211",牢力,2018-03-08,1.9,4.8,360,22:17,7.1,360,22:42
"		211",牢力,2018-03-09,2,5.1,360,0:12,7.7,360,0:13
"		211",牢力,2018-03-10,2.5,5.1,160,17:07,9.8,160,14:01
"		211",牢力,2018-03-11,1.9,5.2,160,13:05,8.5,160,12:44
"		211",牢力,2018-03-12,1.3,4.2,180,13:28,7.4,180,16:30
"		211",牢力,2018-03-13,2.2,5,160,11:06,8.8,140,11:37
"		211",牢力,2018-03-14,2.2,4.6,160,13:59,9.4,140,13:50
"		211",牢力,2018-03-15,3.9,6.8,20,18:27,10.1,20,18:25
"		211",牢力,2018-03-16,3.5,5.8,360,3:22,9,360,5:05
"		211",牢力,2018-03-17,1.4,3.7,180,13:40,6.3,180,15:21
"		211",牢力,2018-03-18,1,4.3,180,13:24,8,160,13:15
"		211",牢力,2018-03-19,2.7,5.4,360,9:54,8.3,340,9:37
"		211",牢力,2018-03-20,4.4,5.8,360,9:23,9.2,340,23:19
"		211",牢力,2018-03-21,4.7,6.7,360,13:04,10.3,20,13:03
"		211",牢力,2018-03-22,1.4,4,160,15:56,6.7,160,16:50
"		211",牢力,2018-03-23,1.7,4.7,180,16:02,7.3,160,18:20
"		211",牢力,2018-03-24,2.7,5.3,160,13:36,10.4,180,16:00
"		211",牢力,2018-03-25,2.4,5.7,160,14:12,9.5,160,17:01
"		211",牢力,2018-03-26,1.7,5.1,180,14:41,9.3,160,17:23
"		211",牢力,2018-03-27,2.3,5.3,160,13:38,8.9,160,13:36
"		211",牢力,2018-03-28,3.8,6,160,13:05,12.1,140,14:46
"		211",牢力,2018-03-29,2,5,70,16:38,7.2,50,18:02
"		211",牢力,2018-03-30,2.1,3.9,50,1:54,6.4,160,13:58
"		211",牢力,2018-03-31,2.2,5.1,160,15:49,9,160,15:52
"		211",牢力,2018-04-01,2.1,4.3,160,12:44,7.2,140,16:19
"		211",牢力,2018-04-02,1.8,4.5,160,14:08,8.7,160,14:02
"		211",牢力,2018-04-03,2.3,5.4,50,19:27,8.4,160,14:02
"		211",牢力,2018-04-04,3.8,5.7,20,12:22,8.2,360,12:21
"		211",牢力,2018-04-05,2,3.7,20,3:51,5.4,50,3:56
"		211",牢力,2018-04-06,2.6,6,160,17:11,13.8,160,15:21
"		211",牢力,2018-04-07,2.6,4.9,180,15:10,9.2,200,15:09
"		211",牢力,2018-04-08,1.9,4.6,180,10:32,9,200,11:01
"		211",牢力,2018-04-09,1.7,4.5,160,15:54,7.5,160,15:54
"		211",牢力,2018-04-10,3.3,8.2,180,21:26,16.3,180,20:30
"		211",牢力,2018-04-11,4.2,6.2,160,13:55,14.7,160,17:04
"		211",牢力,2018-04-12,2.3,6,180,12:04,14.7,200,14:52
"		211",牢力,2018-04-13,2.1,5.1,360,15:22,7.9,360,16:37
"		211",牢力,2018-04-14,1.6,3.2,50,2:47,5.3,70,2:41
"		211",牢力,2018-04-15,1.9,4.7,160,14:07,9.2,160,13:28
"		211",牢力,2018-04-16,1.2,3.4,160,14:59,6.1,180,11:23
"		211",牢力,2018-04-17,1.5,4.4,180,13:58,8.8,180,13:57
"		211",牢力,2018-04-18,1.6,5.2,180,15:43,10.9,140,14:59
"		211",牢力,2018-04-19,2.3,6.3,180,14:56,12.9,160,14:20
"		211",牢力,2018-04-20,1.5,4,160,14:27,7.3,140,15:17
"		211",牢力,2018-04-21,1.8,4.7,160,11:58,9.6,160,12:18
"		211",牢力,2018-04-22,3.3,7.5,360,13:25,13.5,360,13:09
"		211",牢力,2018-04-23,3.8,5.9,20,14:36,10.5,20,14:36
"		211",牢力,2018-04-24,4.2,7.4,20,13:30,12.1,20,12:21
"		211",牢力,2018-04-25,1.3,3.9,20,13:05,7.2,20,12:25
"		211",牢力,2018-04-26,2.2,5.6,160,17:16,12.1,140,17:04
"		211",牢力,2018-04-27,1.8,5.9,360,10:11,9.2,320,10:11
"		211",牢力,2018-04-28,2.3,5.9,180,14:50,12.8,160,14:31
"		211",牢力,2018-04-29,2.5,5.4,180,14:05,11.5,160,16:25
"		211",牢力,2018-04-30,2,4.3,160,13:46,8.3,180,13:46
"		211",牢力,2018-05-01,1.7,4.7,20,19:03,8.3,20,19:05
"		211",牢力,2018-05-02,2.9,5.3,20,20:38,8.6,50,20:35
"		211",牢力,2018-05-03,2.1,5.2,160,7:41,10.4,140,7:21
"		211",牢力,2018-05-04,3.3,7.2,160,17:43,15.7,180,13:31
"		211",牢力,2018-05-05,3.7,6.4,160,14:09,13.5,140,13:27
"		211",牢力,2018-05-06,1.2,4.3,20,16:33,7.6,20,16:57
"		211",牢力,2018-05-07,1.8,6,20,20:40,11.2,360,20:45
"		211",牢力,2018-05-08,4.6,6.9,20,11:44,13,50,12:21
"		211",牢力,2018-05-09,2.8,4.2,360,8:53,7.5,20,1:48
