지역,측정소명,날짜,이산화질소 농도
동해시,천곡동,2019-12-24,0.021
삼척시,남양동,2019-12-24,0.015
속초시,금호동,2019-12-24,0.020
태백시,황지동,2019-12-24,0.014
춘천시,중앙로,2019-12-25,0.020
춘천시,석사동,2019-12-25,0.025
원주시,중앙동,2019-12-25,0.028
원주시,반곡동,2019-12-25,0.033
원주시,문막읍,2019-12-25,0.024
강릉시,옥천동,2019-12-25,0.015
동해시,천곡동,2019-12-25,0.027
삼척시,남양동,2019-12-25,0.017
속초시,금호동,2019-12-25,0.018
태백시,황지동,2019-12-25,0.016
춘천시,중앙로,2019-12-26,0.018
춘천시,석사동,2019-12-26,0.025
원주시,중앙동,2019-12-26,0.032
원주시,반곡동,2019-12-26,0.037
원주시,문막읍,2019-12-26,0.031
강릉시,옥천동,2019-12-26,0.013
동해시,천곡동,2019-12-26,0.019
삼척시,남양동,2019-12-26,0.017
속초시,금호동,2019-12-26,0.015
태백시,황지동,2019-12-26,0.017
춘천시,중앙로,2019-12-27,0.013
춘천시,석사동,2019-12-27,0.021
원주시,중앙동,2019-12-27,0.028
원주시,반곡동,2019-12-27,0.027
원주시,문막읍,2019-12-27,0.027
강릉시,옥천동,2019-12-27,0.011
동해시,천곡동,2019-12-27,0.008
삼척시,남양동,2019-12-27,0.015
속초시,금호동,2019-12-27,0.008
태백시,황지동,2019-12-27,0.007
춘천시,중앙로,2019-12-28,0.023
춘천시,석사동,2019-12-28,0.029
원주시,중앙동,2019-12-28,0.029
원주시,반곡동,2019-12-28,0.032
원주시,문막읍,2019-12-28,0.026
강릉시,옥천동,2019-12-28,0.015
동해시,천곡동,2019-12-28,0.019
삼척시,남양동,2019-12-28,0.016
속초시,금호동,2019-12-28,0.021
태백시,황지동,2019-12-28,0.011
춘천시,중앙로,2019-12-29,0.025
춘천시,석사동,2019-12-29,0.031
원주시,중앙동,2019-12-29,0.030
원주시,반곡동,2019-12-29,0.035
원주시,문막읍,2019-12-29,0.027
강릉시,옥천동,2019-12-29,0.016
동해시,천곡동,2019-12-29,0.032
삼척시,남양동,2019-12-29,0.020
속초시,금호동,2019-12-29,0.033
태백시,황지동,2019-12-29,0.010
춘천시,중앙로,2019-12-30,0.018
춘천시,석사동,2019-12-30,0.021
원주시,중앙동,2019-12-30,0.028
원주시,반곡동,2019-12-30,0.030
원주시,문막읍,2019-12-30,0.024
강릉시,옥천동,2019-12-30,0.014
동해시,천곡동,2019-12-30,0.022
삼척시,남양동,2019-12-30,0.014
속초시,금호동,2019-12-30,0.016
태백시,황지동,2019-12-30,0.009
춘천시,중앙로,2019-12-31,0.006
춘천시,석사동,2019-12-31,0.010
원주시,중앙동,2019-12-31,0.018
원주시,반곡동,2019-12-31,0.017
원주시,문막읍,2019-12-31,0.016
강릉시,옥천동,2019-12-31,0.008
동해시,천곡동,2019-12-31,0.006
삼척시,남양동,2019-12-31,0.010
속초시,금호동,2019-12-31,0.008
태백시,황지동,2019-12-31,1.278
