ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Àü¿î·®(1/10),Æò±Õ ÁßÇÏÃþ¿î·®(1/10)
105,°­¸ª,2021-11-03,14.4,4.9,2.1
105,°­¸ª,2021-11-04,15.2,1.9,0.6
105,°­¸ª,2021-11-05,15.0,0.1,0.0
105,°­¸ª,2021-11-06,14.7,2.6,1.0
105,°­¸ª,2021-11-07,15.0,5.6,2.1
105,°­¸ª,2021-11-08,11.9,7.8,4.3
105,°­¸ª,2021-11-09,7.9,7.1,2.0
105,°­¸ª,2021-11-10,7.5,5.9,3.0
105,°­¸ª,2021-11-11,7.7,1.5,0.9
105,°­¸ª,2021-11-12,7.1,0.0,0.0
105,°­¸ª,2021-11-13,10.9,0.3,0.0
105,°­¸ª,2021-11-14,13.4,2.6,2.4
105,°­¸ª,2021-11-15,11.9,3.5,1.6
105,°­¸ª,2021-11-16,11.6,1.6,1.1
105,°­¸ª,2021-11-17,10.9,2.5,1.6
105,°­¸ª,2021-11-18,14.3,2.4,2.0
105,°­¸ª,2021-11-19,16.0,6.1,2.1
105,°­¸ª,2021-11-20,13.4,5.5,3.4
105,°­¸ª,2021-11-21,12.8,9.3,4.3
105,°­¸ª,2021-11-22,6.8,3.9,2.5
105,°­¸ª,2021-11-23,2.8,0.6,0.0
105,°­¸ª,2021-11-24,6.4,2.1,1.4
105,°­¸ª,2021-11-25,9.7,1.3,0.9
105,°­¸ª,2021-11-26,7.1,0.5,0.1
105,°­¸ª,2021-11-27,5.5,0.0,0.0
105,°­¸ª,2021-11-28,10.2,2.8,1.6
105,°­¸ª,2021-11-29,13.4,6.6,3.0
105,°­¸ª,2021-11-30,10.0,7.5,3.4
105,°­¸ª,2021-12-01,1.6,0.6,0.1
105,°­¸ª,2021-12-02,4.4,2.5,1.8
105,°­¸ª,2021-12-03,5.9,2.0,0.6
105,°­¸ª,2021-12-04,4.3,0.6,0.0
105,°­¸ª,2021-12-05,6.6,0.5,0.0
105,°­¸ª,2021-12-06,9.6,3.6,2.0
105,°­¸ª,2021-12-07,7.1,7.9,3.9
105,°­¸ª,2021-12-08,7.4,2.1,1.3
105,°­¸ª,2021-12-09,8.0,5.5,2.6
105,°­¸ª,2021-12-10,10.9,3.8,2.6
105,°­¸ª,2021-12-11,10.3,6.8,4.0
105,°­¸ª,2021-12-12,6.7,3.8,2.6
105,°­¸ª,2021-12-13,2.7,0.3,0.0
105,°­¸ª,2021-12-14,6.1,0.3,0.1
105,°­¸ª,2021-12-15,9.5,5.6,2.8
105,°­¸ª,2021-12-16,9.3,8.3,3.8
105,°­¸ª,2021-12-17,0.2,1.4,0.3
105,°­¸ª,2021-12-18,-0.9,3.0,1.6
105,°­¸ª,2021-12-19,3.1,2.1,0.6
105,°­¸ª,2021-12-20,9.2,1.9,1.5
105,°­¸ª,2021-12-21,10.6,0.4,0.1
105,°­¸ª,2021-12-22,5.0,4.4,3.6
105,°­¸ª,2021-12-23,5.2,2.1,1.5
105,°­¸ª,2021-12-24,4.5,8.8,3.4
105,°­¸ª,2021-12-25,-3.8,4.5,1.3
105,°­¸ª,2021-12-26,-7.4,2.1,
105,°­¸ª,2021-12-27,-2.2,1.0,0.0
105,°­¸ª,2021-12-28,2.4,2.4,1.8
105,°­¸ª,2021-12-29,5.0,4.8,2.9
105,°­¸ª,2021-12-30,-0.5,0.9,0.0
105,°­¸ª,2021-12-31,-3.0,0.8,0.0
105,°­¸ª,2022-01-01,-0.4,1.5,0.6
105,°­¸ª,2022-01-02,4.3,3.0,1.3
105,°­¸ª,2022-01-03,1.9,1.9,1.1
105,°­¸ª,2022-01-04,1.3,0.3,
105,°­¸ª,2022-01-05,1.1,6.3,2.9
105,°­¸ª,2022-01-06,1.7,0.8,0.3
105,°­¸ª,2022-01-07,2.6,0.4,0.0
105,°­¸ª,2022-01-08,4.8,2.9,2.1
105,°­¸ª,2022-01-09,4.2,5.1,2.8
105,°­¸ª,2022-01-10,4.4,6.4,4.4
105,°­¸ª,2022-01-11,-0.3,1.6,0.4
105,°­¸ª,2022-01-12,-2.7,3.3,1.8
105,°­¸ª,2022-01-13,-3.0,2.3,1.3
105,°­¸ª,2022-01-14,-1.1,1.5,0.8
105,°­¸ª,2022-01-15,3.4,7.9,5.4
105,°­¸ª,2022-01-16,3.3,2.1,1.3
105,°­¸ª,2022-01-17,-1.5,2.3,0.6
105,°­¸ª,2022-01-18,-2.3,1.4,0.6
105,°­¸ª,2022-01-19,-0.5,6.3,3.4
105,°­¸ª,2022-01-20,-1.6,5.5,0.9
105,°­¸ª,2022-01-21,0.5,3.0,1.1
105,°­¸ª,2022-01-22,1.5,4.5,2.9
105,°­¸ª,2022-01-23,2.9,8.5,4.5
105,°­¸ª,2022-01-24,2.4,9.4,4.6
105,°­¸ª,2022-01-25,4.2,8.3,6.3
105,°­¸ª,2022-01-26,5.3,1.7,1.3
105,°­¸ª,2022-01-27,3.0,4.3,2.5
105,°­¸ª,2022-01-28,2.0,1.3,0.3
105,°­¸ª,2022-01-29,1.7,0.8,0.8
105,°­¸ª,2022-01-30,0.5,0.8,0.0
105,°­¸ª,2022-01-31,3.0,1.4,1.0
105,°­¸ª,2022-02-01,2.1,0.5,0.4
105,°­¸ª,2022-02-02,0.9,2.3,0.1
105,°­¸ª,2022-02-03,0.7,0.4,0.3
105,°­¸ª,2022-02-04,-1.0,0.8,0.4
105,°­¸ª,2022-02-05,-3.5,0.0,0.0
105,°­¸ª,2022-02-06,-0.5,1.1,0.5
105,°­¸ª,2022-02-07,0.2,5.4,1.9
105,°­¸ª,2022-02-08,1.6,2.9,0.9
105,°­¸ª,2022-02-09,3.7,4.3,1.9
105,°­¸ª,2022-02-10,3.6,3.1,2.0
105,°­¸ª,2022-02-11,5.9,1.9,1.6
105,°­¸ª,2022-02-12,6.4,6.5,3.8
105,°­¸ª,2022-02-13,5.0,8.4,4.0
105,°­¸ª,2022-02-14,6.2,6.3,3.9
105,°­¸ª,2022-02-15,-0.5,0.0,0.0
105,°­¸ª,2022-02-16,-4.6,1.0,0.0
105,°­¸ª,2022-02-17,-3.9,1.3,0.0
105,°­¸ª,2022-02-18,2.3,4.1,2.5
105,°­¸ª,2022-02-19,3.7,6.8,5.1
105,°­¸ª,2022-02-20,-1.8,0.3,0.0
105,°­¸ª,2022-02-21,0.2,3.4,1.1
105,°­¸ª,2022-02-22,-1.2,0.5,0.0
105,°­¸ª,2022-02-23,-2.5,0.4,0.0
105,°­¸ª,2022-02-24,1.9,0.0,0.0
105,°­¸ª,2022-02-25,6.6,0.0,0.0
105,°­¸ª,2022-02-26,8.9,3.9,1.3
105,°­¸ª,2022-02-27,7.1,0.0,0.0
105,°­¸ª,2022-02-28,9.5,5.8,2.1
105,°­¸ª,2022-03-01,10.0,6.1,3.5
105,°­¸ª,2022-03-02,7.9,0.5,0.0
105,°­¸ª,2022-03-03,6.4,0.5,0.0
105,°­¸ª,2022-03-04,12.6,4.0,0.8
105,°­¸ª,2022-03-05,6.2,0.0,0.0
105,°­¸ª,2022-03-06,3.6,0.0,0.0
105,°­¸ª,2022-03-07,6.2,5.3,2.3
105,°­¸ª,2022-03-08,7.9,3.9,2.1
105,°­¸ª,2022-03-09,8.1,0.1,0.1
105,°­¸ª,2022-03-10,14.0,3.9,1.3
105,°­¸ª,2022-03-11,16.2,5.1,1.8
105,°­¸ª,2022-03-12,11.6,5.4,3.5
105,°­¸ª,2022-03-13,7.2,9.4,6.9
105,°­¸ª,2022-03-14,9.1,7.0,4.4
105,°­¸ª,2022-03-15,10.3,1.9,1.3
105,°­¸ª,2022-03-16,13.1,4.8,2.8
105,°­¸ª,2022-03-17,6.8,9.9,5.3
105,°­¸ª,2022-03-18,4.8,9.9,6.0
105,°­¸ª,2022-03-19,2.1,10.0,6.5
105,°­¸ª,2022-03-20,5.7,7.4,3.1
105,°­¸ª,2022-03-21,6.5,5.6,3.4
105,°­¸ª,2022-03-22,6.3,1.6,0.4
105,°­¸ª,2022-03-23,7.6,7.3,2.9
105,°­¸ª,2022-03-24,11.0,5.4,2.1
105,°­¸ª,2022-03-25,13.6,8.4,2.3
105,°­¸ª,2022-03-26,10.5,7.6,5.5
105,°­¸ª,2022-03-27,11.9,1.6,0.9
105,°­¸ª,2022-03-28,8.4,0.9,0.0
105,°­¸ª,2022-03-29,13.9,0.6,0.6
105,°­¸ª,2022-03-30,12.8,9.1,4.3
105,°­¸ª,2022-03-31,6.6,8.1,4.3
